1+16,44.,6.,42.,8.,38.,12.,35.,15.,38.,12.,47.,3.,42.,8.,35.,15.,48.,2.,49.,1.,0.0,0.01,0.739658725034,7.933346933191709e-07,0.0008906933778350274,1202.2051184177399
1+16,34.,16.,49.,1.,44.,6.,50.,0.,47.,3.,45.,5.,47.,3.,48.,2.,46.,4.,41.,9.,0.0,0.01,0.773486878088,5.086168548714689e-06,0.002255253544219516,719.0192039012909
1+16,46.,4.,49.,1.,39.,11.,45.,5.,44.,6.,40.,10.,44.,6.,50.,0.,48.,2.,49.,1.,0.0,0.01,0.774926812143,2.3216280659235977e-05,0.004818327579070977,675.6365814208984
1+16,48.,2.,47.,3.,35.,15.,49.,1.,49.,1.,47.,3.,45.,5.,32.,18.,38.,12.,49.,1.,0.0,0.01,0.755955808411,3.6533364802240754e-05,0.006044283646739351,934.421138048172
1+16,48.,2.,46.,4.,46.,4.,49.,1.,48.,2.,49.,1.,48.,2.,31.,19.,42.,8.,46.,4.,0.0,0.01,0.765182649958,1.228614693443179e-05,0.003505160044053879,1094.8426024913788
1+16,49.,1.,36.,14.,40.,10.,45.,5.,47.,3.,24.,26.,33.,17.,49.,1.,47.,3.,41.,9.,0.0,0.01,0.727279277035,2.3654411469800817e-06,0.001537999072489994,930.6067452430725
1+16,41.,9.,34.,16.,46.,4.,44.,6.,40.,10.,46.,4.,49.,1.,48.,2.,47.,3.,49.,1.,0.0,0.01,0.769995783027,4.797931003095196e-05,0.006926709899436525,773.3093132972717
1+16,46.,4.,43.,7.,45.,5.,49.,1.,37.,13.,48.,2.,18.,32.,43.,7.,33.,17.,43.,7.,0.0,0.01,0.716226418891,1.584361042230758e-05,0.003980403298951952,924.166576385498
1+16,39.,11.,26.,24.,20.,30.,49.,1.,47.,3.,44.,6.,42.,8.,48.,2.,49.,1.,47.,3.,0.0,0.01,0.730640354199,7.520846575440251e-05,0.008672281461899314,568.5438828468323
1+16,48.,2.,44.,6.,48.,2.,48.,2.,45.,5.,41.,9.,29.,21.,31.,19.,49.,1.,41.,9.,0.0,0.01,0.734089702257,2.1613540204385977e-06,0.0014701544206098208,1012.6128396987915
4+16,50.,0.,50.,0.,43.,7.,50.,0.,50.,0.,50.,0.,47.,3.,50.,0.,50.,0.,34.,16.,0.0,0.01,0.791078164046,0.0005668386896441767,0.023808374359543676,1600.48259973526
4+16,50.,0.,50.,0.,50.,0.,43.,7.,50.,0.,50.,0.,50.,0.,50.,0.,49.,1.,48.,2.,0.0,0.01,0.791161846542,0.0003403254462723634,0.018447911704915637,1501.2832312583923
4+16,49.,1.,50.,0.,50.,0.,45.,5.,49.,1.,32.,18.,37.,13.,47.,3.,38.,12.,50.,0.,0.0,0.01,0.772786795985,7.032117102895403e-05,0.008385771939956037,1532.4835121631622
4+16,50.,0.,50.,0.,47.,3.,50.,0.,43.,7.,50.,0.,50.,0.,50.,0.,49.,1.,47.,3.,0.0,0.01,0.785714344933,0.0003923446616733052,0.01980769198249269,1336.6744844913483
4+16,50.,0.,50.,0.,47.,3.,50.,0.,50.,0.,47.,3.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.798437080161,0.00016696476834330727,0.01292148475769357,1354.1625535488129
4+16,45.,5.,50.,0.,50.,0.,50.,0.,50.,0.,35.,15.,50.,0.,50.,0.,50.,0.,46.,4.,0.0,0.01,0.78678249676,3.995442806622458e-06,0.001998860376970452,1419.815512418747
4+16,49.,1.,50.,0.,39.,11.,50.,0.,50.,0.,48.,2.,50.,0.,45.,5.,50.,0.,49.,1.,0.0,0.01,0.786116718618,0.00010413893507170153,0.010204848606015747,946.1489052772522
4+16,47.,3.,50.,0.,50.,0.,50.,0.,50.,0.,48.,2.,41.,9.,50.,0.,50.,0.,19.,31.,0.0,0.01,0.7643112613,0.007333522225972461,0.0856359867460664,1071.9325735569
4+16,50.,0.,49.,1.,36.,14.,49.,1.,50.,0.,50.,0.,50.,0.,35.,15.,49.,1.,50.,0.,0.0,0.01,0.775280896945,8.417100830825788e-05,0.009174475914637189,931.5696740150452
4+16,49.,1.,50.,0.,49.,1.,50.,0.,50.,0.,50.,0.,46.,4.,50.,0.,50.,0.,48.,2.,0.0,0.01,0.795930426563,0.00033026730995820567,0.018173258099697085,1011.2086322307587
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1634.8521206378937
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1771.8971209526062
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1675.4789443016052
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1643.9311509132385
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1564.326551437378
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1590.6524019241333
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1114.4713094234467
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1276.1134531497955
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1509.6111588478088
4+2,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,50.,0.,0.0,0.01,0.788912579957,0.00018185041893790233,0.013485192580675381,1435.8771398067474
1+16,41.,9.,50.,0.,49.,1.,40.,10.,35.,15.,48.,2.,44.,6.,44.,6.,37.,13.,43.,7.,0.1,0.01,0.749912259734,0.0001534168108463336,0.012386153997360665,754.0235812664032
